english;spanish;french;italian;german;japanese;chinese
Leather Pants;;Pantalon en cuir;;Leder-Hose;レザーパンツ;轻皮具足
Piscine Breeches;;Culottes nageur;;Fisch-Kniehose;モガピスカフィン;莫伽海之裤子
Chainmail Pants;;Pantalon en maille;;Ketten-Hose;チェーンパンツ;锁链具足
Yukumo Hakama;;Hakama Yukumo;;Yukumo-Hakama;ユクモノハカマ;结云袴
Loc Lac Boots;;Bottes de Loc Lac;;Loc-Lac-Stiefel;ロックラックブーツ;洛克拉克皮靴
Hunter's Greaves;;Grèves de chasseur;;Jäger-Beinschienen;ハンターグリーヴ;猎人重靴
Hunter's Leggings;;Cuiss. de chasseur;;Jäger-Gamaschen;ハンターレギンス;猎人轻靴
Alloy Greaves;;Grèves en alliage;;Legier.-Beinschienen;アロイグリーヴ;合金重靴
Alloy Leggings;;Cuiss. en alliage;;Legier.-Gamaschen;アロイレギンス;合金轻靴
Bone Greaves;;Grèves d'os;;Knochen-Beinschienen;ボーングリーヴ;骨制重靴
Bone Leggings;;Cuissardes d'os;;Knochen-Gamaschen;ボーンレギンス;骨制轻靴
Bnahabra Boots;;Bottes Bnahabra;;Bnahabra-Stiefel;ブナハブーツ;飞甲虫皮靴
Bnahabra Pants;;Pantalon Bnahabra;;Bnahabra-Hose;ブナハフット;飞甲虫具足
Rhenoplos Greaves;;Grèves Rhenoplos;;Rhenop.-Beinschienen;リノプログリーヴ;草食龙重靴
Rhenoplos Leggings;;Cuissardes Rhenoplos;;Rhenoplos-Gamaschen;リノプロレギンス;草食龙轻靴
Jaggi Greaves;;Grèves Jaggi;;Jaggi-Beinschienen;ジャギィグリーヴ;狗龙重靴
Jaggi Leggings;;Cuissardes Jaggi;;Jaggi-Gamaschen;ジャギィレギンス;狗龙轻靴
Arzuros Greaves;;Grèves Arzuros;;Arzuros-Beinschienen;アシラグリーヴ;青熊兽重靴
Arzuros Leggings;;Cuissardes Arzuros;;Arzuros-Gamaschen;アシラレギンス;青熊兽轻靴
