english;spanish;french;italian;german;japanese;chinese
Leather Gloves;;Gants en cuir;;Leder-Handschuhe;レザーグラブ;轻皮手套
Chainmail Gloves;;Gants en maille;;Ketten-Handschuhe;チェーングラブ;锁链手套
Yukumo Kote;;Kote Yukumo;;Yukumo-Kote;ユクモノコテ;结云护手
Hunter's Vambraces;;Avt-bras de chasseur;;Jäger-Armschienen;ハンターアーム;猎人腕甲
Hunter's Guards;;Gardes de chasseur;;Jäger-Armschutz;ハンターガード;猎人护手
Alloy Vambraces;;Avt-bras en alliage;;Legier.-Armschienen;アロイアーム;合金腕甲
Alloy Guards;;Gardes en alliage;;Legier.-Armschutz;アロイガード;合金护手
Bone Vambraces;;Avant-bras d'os;;Knochen-Armschienen;ボーンアーム;骨制腕甲
Bone Guards;;Gardes d'os;;Knochen-Armschutz;ボーンガード;骨制护手
Bnahabra Gloves;;Gants Bnahabra;;Bnahabra-Handschuhe;ブナハグローブ;飞甲虫手套
Bnahabra Sleeves;;Manches Bnahabra;;Bnahabra-Ärmel;ブナハカフス;飞甲虫长袖
Rhenoplos Vambraces;;Avant-bras Rhenoplos;;RhenoplosArmschienen;リノプロアーム;草食龙腕甲
Rhenoplos Guards;;Gardes Rhenoplos;;Rhenoplos-Armschutz;リノプロガード;草食龙护手
Jaggi Vambraces;;Avant-bras Jaggi;;Jaggi-Armschienen;ジャギィアーム;狗龙腕甲
Jaggi Guards;;Gardes Jaggi;;Jaggi-Armschutz;ジャギィガード;狗龙护手
Arzuros Vambraces;;Avant-bras Arzuros;;Arzuros-Armschienen;アシラアーム;青熊兽腕甲
Arzuros Guards;;Gardes Arzuros;;Arzuros-Armschutz;アシラガード;青熊兽护手
Wroggi Vambraces;;Avant-bras Wroggi;;Wroggi-Armschienen;フロギィアーム;毒狗龙腕甲
Wroggi Guards;;Gardes Wroggi;;Wroggi-Armschutz;フロギィガード;毒狗龙护手
Qurupeco Vambraces;;Avant-bras Qurupeco;;Qurupeco-Armschienen;ペッコアーム;彩鸟腕甲
Qurupeco Guards;;Gardes Qurupeco;;Qurupeco-Armschutz;ペッコガード;彩鸟护手
Ludroth Vambraces;;Avant-bras Ludroth;;Ludroth-Armschienen;ルドロスアーム;水兽腕甲
Ludroth Guards;;Gardes Ludroth;;Ludroth-Armschutz;ルドロスガード;水兽护手
Baggi Vambraces;;Avant-bras Baggi;;Baggi-Armschienen;バギィアーム;眠狗龙腕甲
Baggi Guards;;Gardes Baggi;;Baggi-Armschutz;バギィガード;眠狗龙护手
Lagombi Vambraces;;Avant-bras Lagombi;;Lagombi-Armschienen;ウルクアーム;白兔兽腕甲
Lagombi Guards;;Gardes Lagombi;;Lagombi-Armschutz;ウルクガード;白兔兽护手
Barroth Vambraces;;Avant-bras Barroth;;Barroth-Armschienen;ボロスアーム;土砂龙腕甲
Barroth Guards;;Gardes Barroth;;Barroth-Armschutz;ボロスガード;土砂龙护手
Volvidon Vambraces;;Avant-bras Volvidon;;Volvidon-Armschienen;ラングロアーム;赤甲兽腕甲
Volvidon Guards;;Gardes Volvidon;;Volvidon-Armschutz;ラングロガード;赤甲兽护手
Gobul Vambraces;;Avant-bras Gobul;;Gobul-Armschienen;ガブルアーム;灯鱼龙腕甲
Gobul Guards;;Gardes Gobul;;Gobul-Armschutz;ガブルガード;灯鱼龙护手
Rathian Vambraces;;Avant-bras Rathian;;Rathian-Armschienen;レイアアーム;雌火龙腕甲
Rathian Guards;;Gardes Rathian;;Rathian-Armschutz;レイアガード;雌火龙护手
Gigginox Vambraces;;Avant-bras Gigginox;;Gigginox-Armschienen;ネブラアーム;毒怪龙腕甲
Gigginox Guards;;Gardes Gigginox;;Gigginox-Armschutz;ネブラガード;毒怪龙护手
Ingot Vambraces;;Avant-bras en lingot;;Guss-Armschienen;インゴットアーム;高合金腕甲
Ingot Guards;;Gardes en lingot;;Guss-Armschutz;インゴットガード;高合金护手
Barioth Vambraces;;Avant-bras Barioth;;Barioth-Armschienen;ベリオアーム;冰牙龙腕甲
Barioth Guards;;Gardes Barioth;;Barioth-Armschutz;ベリオガード;冰牙龙护手
