english;spanish;french;italian;german;japanese;chinese
Yukumo Hakama;Hakama Yukumo;Hakama Yukumo;;Yukumono-Hakama;ユクモノハカマ;
Leather Pants;Pantalones Cuero;Pantalon en cuir;;Leder-Hose;レザーパンツ;
Chainmail Pants;Pantalones Malla;Pantalon en maille;;Ketten-Hose;チェーンパンツ;
Hunter's Greaves;Grebas Cazador;Greves de chasseur;;Jäger-Beinschienen;ハンターグリーヴ;
Hunter's Leggings;Calzas Cazador;Cuissardes de chasseur;;Jäger-Gamaschen;ハンターレギンス;
Loc Lac Boots;Botas Loc Lac;Bottes Loc Lac;;Loc-Lac-Stiefel;ロックラックブーツ;
Bone Greaves;Grebas hueso;Greves d'os;;Knochen-Beinschienen;ボーングリーヴ;
Bone Leggings;Calzas hueso;Cuissardes d'os;;Knochen-Gamaschen;ボーンレギンス;
Alloy Greaves;Grebas Aleación;Greves haut-métal;;Legier.-Beinschienen;アロイグリーヴ;
Alloy Leggings;Calzas Aleación;Cuissardes haut-métal;;Legierungs-Gamaschen;アロイレギンス;
Bnahabra Boots;Botas Bnahabra;Bottes Bnahabra;;Bnahabra-Stiefel;ブナハブーツ;
Bnahabra Pants;Calzado Bnahabra;Chaussures Bnahabra;;Bnahabra-Hose;ブナハフット;
Rhenoplos Greaves;Grebas Rhenoplos;Greves Rhenoplos;;Rhenop.-Beinschienen;リノプログリーヴ;
Rhenoplos Leggings;Calzas Rhenoplos;Cuissardes Rhenoplos;;Rhenoplos-Gamaschen;リノプロレギンス;
Jaggi Greaves;Grebas Jaggi;Greves Jaggi;;Jaggi-Beinschienen;ジャギィグリーヴ;
Jaggi Leggings;Calzas Jaggi;Cuissardes Jaggi;;Jaggi-Gamaschen;ジャギィレギンス;
Arzuros Greaves;Grebas Aoashira;Greves Aoashira;;AoashiraBeinschienen;アシラグリーヴ;
Arzuros Leggings;Calzas Aoashira;Cuissardes Aoashira;;Aoashira-Gamaschen;アシラレギンス;
Wroggi Greaves;Grebas Furogi;Greves Froggi;;Froggi-Beinschienen;フロギィグリーヴ;
Wroggi Leggings;Calzas Furogi;Cuissardes Froggi;;Froggi-Gamaschen;フロギィレギンス;
Lagombi Greaves;Grebas Urukususu;Greves Urukususu;;Ulkusus-Beinschienen;ウルクグリーヴ;
Lagombi Leggings;Calzas Urukususu;Cuissardes Urukususu;;Ulkusus-Gamaschen;ウルクレギンス;
Qurupeco Greaves;Grebas Qurupeco;Greves Qurupeco;;QurupecoBeinschienen;ペッコグリーヴ;
Qurupeco Leggings;Calzas Qurupeco;Cuissardes Qurupeco;;Qurupeco-Gamaschen;ペッコレギンス;
Ludroth Greaves;Grebas Ludroth;Greves Ludroth;;Ludroth-Beinschienen;ルドロスグリーヴ;
Ludroth Leggings;Calzas Ludroth;Cuissardes Ludroth;;Ludroth-Gamaschen;ルドロスレギンス;
Barroth Greaves;Grebas Barroth;Greves Barroth;;Barroth-Beinschienen;ボロスグリーヴ;
Barroth Leggings;Calzas Barroth;Cuissardes Barroth;;Barroth-Gamaschen;ボロスレギンス;
Ingot Greaves;Grebas Lingote;Greves lingot;;Guss-Beinschienen;インゴットグリーヴ;
Ingot Leggings;Calzas Lingote;Cuissardes lingot;;Guss-Gamaschen;インゴットレギンス;
Baggi Greaves;Grebas Baggi;Greves Baggi;;Baggi-Beinschienen;バギィグリーヴ;
Baggi Leggings;Calzas Baggi;Cuissardes Baggi;;Baggi-Gamaschen;バギィレギンス;
Volvidon Greaves;Grebas Rangurotora;Greves Ranguro;;Langro.-Beinschienen;ラングログリーヴ;
Volvidon Leggings;Calzas Rangurotora;Cuissardes Ranguro;;Langrotora-Gamaschen;ラングロレギンス;
Rathian Greaves;Grebas Rathian;Greves Rathian;;Rathian-Beinschienen;レイアグリーヴ;
Rathian Leggings;Calzas Rathian;Cuissardes Rathian;;Rathian-Gamaschen;レイアレギンス;
Nibelsnarf Greaves;Grebas Hapuru;Greves Hapurubokka;;Hapulb.-Beinschienen;ハプルグリーヴ;
Nibelsnarf Leggings;Calzas Hapuru;Cuiss. Hapurubokka;;Hapulbokka-Gamaschen;ハプルレギンス;
Gigginox Greaves;Grebas Gigginox;Greves Gigginox;;GigginoxBeinschienen;ネブラグリーヴ;
Gigginox Leggings;Calzas Gigginox;Cuissardes Gigginox;;Gigginox-Gamaschen;ネブラレギンス;
Nargacuga Greaves;Grebas Naruga;Greves Nargacuga;;Nargac.-Beinschienen;ナルガグリーヴ;
Nargacuga Leggings;Calzas Naruga;Cuissardes Nargacuga;;Nargacuga-Gamaschen;ナルガレギンス;
Barioth Greaves;Grebas Barioth;Greves Barioth;;Barioth-Beinschienen;ベリオグリーヴ;
Barioth Leggings;Calzas Barioth;Cuissardes Barioth;;Barioth-Gamaschen;ベリオレギンス;
Rathalos Greaves;Grebas Rathalos;Greves Rathalos;;RathalosBeinschienen;レウスグリーヴ;
Rathalos Leggings;Calzas Rathalos;Cuissardes Rathalos;;Rathalos-Gamaschen;レウスレギンス;
Uragaan Greaves;Grebas Uragaan;Greves Uragaan;;Uragaan-Beinschienen;ガンキングリーヴ;
Uragaan Leggings;Calzas Uragaan;Cuissardes Uragaan;;Uragaan-Gamaschen;ガンキンレギンス;
Zinogre Greaves;Grebas Jinuoga;Greves Jinouga;;Jinouga-Beinschienen;ジンオウグリーヴ;
Zinogre Leggings;Calzas Jinuoga;Cuissardes Jinouga;;Jinouga-Gamaschen;ジンオウレギンス;
Diablos Greaves;Grebas Diablos;Greves Diablos;;Diablos-Beinschienen;ディアブログリーヴ;
Diablos Leggings;Calzas Diablos;Cuissardes Diablos;;Diablos-Gamaschen;ディアブロレギンス;
Tigrex Greaves;Grebas Tigrex;Greves Tigrex;;Tigrex-Beinschienen;レックスグリーヴ;
Tigrex Leggings;Calzas Tigrex;Cuissardes Tigrex;;Tigrex-Gamaschen;レックスレギンス;
Agnaktor Greaves;Grebas Agnaktor;Greves Agnaktor;;AgnaktorBeinschienen;アグナグリーヴ;
Agnaktor Leggings;Calzas Agnaktor;Cuissardes Agnaktor;;Agnaktor-Gamaschen;アグナレギンス;
Duramboros Greaves;Grebas Doboru;Greves Doboru;;Dobolb.-Beinschienen;ドボルグリーヴ;
Duramboros Leggings;Calzas Doboru;Cuissardes Doboru;;Dobolbelk-Gamaschen;ドボルレギンス;
Guild Bard Boots;Botas cab. Gremio;Bottes de la guilde;;Gildenbarden-Stiefel;ギルドバードブーツ;
Guild Bard Gaiters;Leotardos cab. Grem.;Chaussures de guilde;;Gildenbarden-Stulpen;ギルドバードフット;
Scholar's Socks;Calcetines Colegiala;Bottes guilde;;Gelehrten-Socken;スカラーソックス;
Scholar's Sandals;Sandalias Colegiala;Chaussures guilde;;Gelehrten-Sandalen;スカラーサンダル;
Mosgharl Roots;Raíz Calabaza (Maestro Espada);Bottes sorcière;;Magier-Base;マギュルライース;
Mosgharl Roots;Raíz Calabaza (Maestro Espada);Bottes sorcière;;Magier-Base;マギュルライース;
Mosgharl Radicals;Raíz Calabaza (Artillero);Chaussures sorcière;;Magier-Pfahlwurzel;マギュルヴルツェル;
Mosgharl Radicals;Raíz Calabaza (Artillero);Chaussures sorcière;;Magier-Pfahlwurzel;マギュルヴルツェル;
Viking Greaves;Grebas Pescado;Greves motard;;Vaiku-Beinschienen;ヴァイクグリーヴ;
Viking Leggings;Calzas Pescado;Cuissardes motard;;Vaiku-Gamaschen;ヴァイクレギンス;
Aelucanth Crura;Grebas Escarabajo;Gamba nécrologie;;Rowagga-Gamba;ロワーガガンバ;
Aelucanth Tarsi;Calzas Escarabajo;Femur nécrologie;;Rowagga-Femur;ロワーガフェムル;
Rhopessa Crura;Grebas Mariposa;Gamba papillon;;Falmir-Gamba;ファルメルガンバ;
Rhopessa Tarsi;Calzas Mariposa;Femur papillon;;Falmir-Femur;ファルメルフェムル;
Artian Greaves;Grebas Atia;Greves Atia;;Attia-Beinschienen;アーティアグリーヴ;
Artian Leggings;Calzas Atia;Cuissardes Atia;;Attia-Gamaschen;アーティアレギンス;
Yamato Gusoku;Grebas Yamato;Pantalon Yamato;;Yamato-Gusoku;大和【具足】;
Mutsu Gusoku;Grebas Mutsu;Pantalon Mutsu;;Mutsu-Gusoku;陸奥【具足】;
Hyuga Hakama;Hakama Hyuga;Pantalon Hinata;;Hinata-Hakama;日向【袴】;
Amagi Hakama;Hakama Amagi;Pantalon Amagi;;Amagi-Hakama;天城【袴】;
Bath Sandals;Sandalias Yuami;Sandales des bains;;Badesandalen;ユアミサンダル;
Yukumo Sky Hakama;Hakama Yukumo・Cielo;Hakama Yukumo ciel;;Yukumono-Hakama Hmml;ユクモノハカマ・天;
Yukumo Land Hakama;Hakama Yukumo・Tierr;Hakama Yukumo terre;;Yukumono-Hakama Erde;ユクモノハカマ・地;
Leather Greaves S;Grebas Cuero S;Greves en cuir S;;Leder-Beinschienen S;レザーＳグリーヴ;
Leather Leggings S;Calzas Cuero S;Cuissardes en cuir S;;Leder-Gamaschen S;レザーＳレギンス;
Chainmail Greaves S;Grebas de Malla S;Greves en maille S;;Ketten-BeinschienenS;チェーンＳグリーヴ;
Chainmail Leggings S;Calzas de Malla S;Cuiss. en maille S;;Ketten-Gamaschen S;チェーンＳレギンス;
Hunter's Greaves S;Grebas cazador S;Greves de chasseur S;;Jäger-Beinschienen S;ハンターＳグリーヴ;
Hunter's Leggings S;Calzas cazador S;Cuiss. de chasseur S;;Jäger-Gamaschen S;ハンターＳレギンス;
Loc Lac Boots S;Botas Loc Lac S;Bottes Loc Lac S;;Loc-Lac-Stiefel S;ロックラックＳブーツ;
Loc Lac Gaiters S;Calzado Loc Lac S;Chaussures Loc Lac S;;Loc-Lac-Hose S;ロックラックＳフット;
Bone Greaves S;Grebas hueso S;Greves d'os S;;KnochenBeinschienenS;ボーンＳグリーヴ;
Bone Leggings S;Calzas hueso S;Cuissardes d'os S;;Knochen-Gamaschen S;ボーンＳレギンス;
Alloy Greaves S;Grebas Aleación S;Greves haut-métal S;;Legier.BeinschienenS;アロイＳグリーヴ;
Alloy Leggings S;Calzas Aleación S;Cuiss. haut-métal S;;LegierungsGamaschenS;アロイＳレギンス;
Bnahabra Boots S;Botas Bnahabra S;Bottes Bnahabra S;;Bnahabra-Stiefel S;ブナハＳブーツ;
Bnahabra Pants S;Calzado Bnahabra S;Chauss. Bnahabra S;;Bnahabra-Hose S;ブナハＳフット;
