english;spanish;french;italian;german;japanese;chinese
Yukumo Kote;Kote Yukumo;Kote Yukumo;;Yukumono-Kote;ユクモノコテ;
Leather Gloves;Guantes Cuero;Avant-bras en cuir;;Leder-Handschuhe;レザーグラブ;
Chainmail Gloves;Guantes Malla;Avant-bras en maille;;Ketten-Handschuhe;チェーングラブ;
Hunter's Vambraces;Brazales Cazador;Avt-bras de chasseur;;Jäger-Armschienen;ハンターアーム;
Hunter's Guards;Guardab. Cazador;Gardes de chasseur;;Jäger-Armschutz;ハンターガード;
Bone Vambraces;Brazales Hueso;Avant-bras d'os;;Knochen-Armschienen;ボーンアーム;
Bone Guards;Guardab. Hueso;Gardes d'os;;Knochen-Armschutz;ボーンガード;
Alloy Vambraces;Brazales Aleación;Avant-bras haut-métal;;Legier.-Armschienen;アロイアーム;
Alloy Guards;Guardab. Aleación;Gardes haut-métal;;Legierungs-Armschutz;アロイガード;
Bnahabra Gloves;Guantes Bnahabra;Gants Bnahabra;;Bnahabra-Handschuhe;ブナハグローブ;
Bnahabra Sleeves;Mangas Bnahabra;Manches Bnahabra;;Bnahabra-Ärmel;ブナハカフス;
Rhenoplos Vambraces;Brazales Rhenoplos;Avant-bras Rhenoplos;;Rhenopl.-Armschienen;リノプロアーム;
Rhenoplos Guards;Guardab. Rhenoplos;Gardes Rhenoplos;;Rhenoplos-Armschutz;リノプロガード;
Jaggi Vambraces;Brazales Jaggi;Avant-bras Jaggi;;Jaggi-Armschienen;ジャギィアーム;
Jaggi Guards;Guardab. Jaggi;Gardes Jaggi;;Jaggi-Armschutz;ジャギィガード;
Arzuros Vambraces;Brazales Aoashira;Avant-bras Aoashira;;Aoashira-Armschienen;アシラアーム;
Arzuros Guards;Guardab. Aoashira;Gardes Aoashira;;Aoashira-Armschutz;アシラガード;
Steel Vambraces;Brazales acero;Avant-bras en acier;;Stahl-Armschienen;スティールアーム;
Wroggi Vambraces;Brazales Furogi;Avant-bras Froggi;;Froggi-Armschienen;フロギィアーム;
Wroggi Guards;Guardab. Furogi;Gardes Froggi;;Froggi-Armschutz;フロギィガード;
Lagombi Vambraces;Brazales Urukususu;Avant-bras Urukususu;;Ulkusus-Armschienen;ウルクアーム;
Lagombi Guards;Guardab. Urukususu;Gardes Urukususu;;Ulkusus-Armschutz;ウルクガード;
Qurupeco Vambraces;Brazales Qurupeco;Avant-bras Qurupeco;;Qurupeco-Armschienen;ペッコアーム;
Qurupeco Guards;Guardab. Qurupeco;Gardes Qurupeco;;Qurupeco-Armschutz;ペッコガード;
Ludroth Vambraces;Brazales Ludroth;Avant-bras Ludroth;;Ludroth-Armschienen;ルドロスアーム;
Ludroth Guards;Guardab. Ludroth;Gardes Ludroth;;Ludroth-Armschutz;ルドロスガード;
Barroth Vambraces;Brazales Barroth;Avant-bras Barroth;;Barroth-Armschienen;ボロスアーム;
Barroth Guards;Guardab. Barroth;Gardes Barroth;;Barroth-Armschutz;ボロスガード;
Ingot Vambraces;Brazales Lingote;Avant-bras lingot;;Guss-Armschienen;インゴットアーム;
Ingot Guards;Guardab. Lingote;Gardes lingot;;Guss-Armschutz;インゴットガード;
Baggi Vambraces;Brazales Baggi;Avant-bras Baggi;;Baggi-Armschienen;バギィアーム;
Baggi Guards;Guardab. Baggi;Gardes Baggi;;Baggi-Armschutz;バギィガード;
Volvidon Vambraces;Brazales Rangu.;Avant-bras Ranguro;;Langrot.-Armschienen;ラングロアーム;
Volvidon Guards;Guardab. Rangu.;Gardes Ranguro;;Langrotora-Armschutz;ラングロガード;
Rathian Vambraces;Brazales Rathian;Avant-bras Rathian;;Rathian-Armschienen;レイアアーム;
Rathian Guards;Guardab. Rathian;Gardes Rathian;;Rathian-Armschutz;レイアガード;
Nibelsnarf Vambraces;Brazales Hapuru;Avant-b. Hapurubokka;;Hapulb.-Armschienen;ハプルアーム;
Nibelsnarf Guards;Guardab. Hapuru;Gardes Hapurubokka;;Hapulbokka-Armschutz;ハプルガード;
Gigginox Vambraces;Brazales Gigginox;Avant-bras Gigginox;;Gigginox-Armschienen;ネブラアーム;
Gigginox Guards;Guardab. Gigginox;Gardes Gigginox;;Gigginox-Armschutz;ネブラガード;
Nargacuga Vambraces;Brazales Naruga;Avant-bras Nargacuga;;Nargacu.-Armschienen;ナルガアーム;
Nargacuga Guards;Guardab. Naruga;Gardes Nargacuga;;Nargacuga-Armschutz;ナルガガード;
Barioth Vambraces;Brazales Barioth;Avant-bras Barioth;;Barioth-Armschienen;ベリオアーム;
Barioth Guards;Guardab. Barioth;Gardes Barioth;;Barioth-Armschutz;ベリオガード;
Rathalos Vambraces;Brazales Rathalos;Avant-bras Rathalos;;Rathalos-Armschienen;レウスアーム;
Rathalos Guards;Guardab. Rathalos;Gardes Rathalos;;Rathalos-Armschutz;レウスガード;
Uragaan Vambraces;Brazales Uragaan;Avant-bras Uragaan;;Uragaan-Armschienen;ガンキンアーム;
Uragaan Guards;Guardab. Uragaan;Gardes Uragaan;;Uragaan-Armschutz;ガンキンガード;
Zinogre Vambraces;Brazales Jinouga;Avant-bras Jinouga;;Jinouga-Armschienen;ジンオウアーム;
Zinogre Guards;Guardab. Jinouga;Gardes Jinouga;;Jinouga-Armschutz;ジンオウガード;
Diablos Vambraces;Brazales Diablos;Avant-bras Diablos;;Diablos-Armschienen;ディアブロアーム;
Diablos Guards;Guardab. Diablos;Gardes Diablos;;Diablos-Armschutz;ディアブロガード;
Tigrex Vambraces;Brazales Tigrex;Avant-bras Tigrex;;Tigrex-Armschienen;レックスアーム;
Tigrex Guards;Guardab. Tigrex;Gardes Tigrex;;Tigrex-Armschutz;レックスガード;
Agnaktor Vambraces;Brazales Agnaktor;Avant-bras Agnaktor;;Agnaktor-Armschienen;アグナアーム;
Agnaktor Guards;Guardab. Agnaktor;Gardes Agnaktor;;Agnaktor-Armschutz;アグナガード;
Duramboros Vambraces;Brazales Doboru;Avant-bras Doboru;;Dobolb.-Armschienen;ドボルアーム;
Duramboros Guards;Guradab. Doboru;Gardes Doboru;;Dobolbelk-Armschutz;ドボルガード;
Guild Bard Braces;Gua. guard. Gremio;Gants guilde;;Gildenb.-Armschienen;ギルドバードアーム;
Guild Bard Sleeves;Man. guard. Gremio;Manches guilde;;Gildenbarden-Ärmel;ギルドバードカフス;
Scholar's Gloves;Guantes Colegiala;Gants de la guilde;;Gelehrten-Handschuhe;スカラーグラブ;
Scholar's Sleeves;Mangas Colegiala;Manches de la guilde;;Gelehrten-Ärmel;スカラーカフス;
Mosgharl Creeper;Rama Calabaza (Maestro Espada);Gants sorcière;;Magier-Rameau;マギュルラーマ;
Mosgharl Creeper;Rama Calabaza (Maestro Espada);Gants sorcière;;Magier-Rameau;マギュルラーマ;
Mosgharl Tendril;Rama Calabaza (Artillero);Manches sorcière;;Magier-Ast;マギュルアスト;
Mosgharl Tendril;Rama Calabaza (Artillero);Manches sorcière;;Magier-Ast;マギュルアスト;
Viking Vambraces;Brazales Pescado;Avant-bras motard;;Vaiku-Armschienen;ヴァイクアーム;
Viking Guards;Guardab. Pescado;Gardes motard;;Vaiku-Armschutz;ヴァイクガード;
Aelucanth Brachia;Brazales Escarabajo;Mano nécrologie;;Rowagga-Mano;ロワーガマーノ;
Aelucanth Manus;Guardab. Escarabajo;Brasso nécrologie;;Rowagga-Brasso;ロワーガブラッソ;
Rhopessa Brachia;Brazales Mariposa;Mano papillon;;Falmir-Mano;ファルメルマーノ;
Rhopessa Manus;Guardab. Mariposa;Brasso papillon;;Falmir-Brasso;ファルメルブラッソ;
Artian Vambraces;Brazales Atia;Avant-bras Atia;;Attia-Armschienen;アーティアアーム;
Artian Guards;Guardab. Atia;Gardes Atia;;Attia-Armschutz;アーティアガード;
Yamato Kote;Kote Yamato;Gantelets Yamato;;Yamato-Kote;大和【篭手】;
Mutsu Kote;Kote Mutsu;Gantelets Mutsu;;Mutsu-Kote;陸奥【篭手】;
Hyuga Kote;Kote Hyuga;Gantelets Hinata;;Hinata-Kote;日向【篭手】;
Anagi Kote;Kote Amagi;Gantelets Amagi;;Amagi-Kote;天城【篭手】;
Sweatbands;Banda Yuami;Bracelet des bains;;Badhandgelenk;ユアミリスト;
Yukumo Sky Kote;Kote Yukumo・Cielo;Kote Yukumo ciel;;Yukumono-Kote Himmel;ユクモノコテ・天;
Yukumo Land Kote;Kote Yukumo・Tierra;Kote Yukumo terre;;Yukumono-Kote Erde;ユクモノコテ・地;
Leather Vambraces S;Brazales Cuero S;Avant-bras en cuir S;;Leder-Armschienen S;レザーＳアーム;
Leather Guards S;Guardab. Cuero S;Gardes en cuir S;;Leder-Armschutz S;レザーＳガード;
Chainmail Vambraces S;Braza. Cota Malla S;A-bras en maille S;;Ketten-Armschienen S;チェーンＳアーム;
Chainmail Guards S;Guardab. Malla S;Gardes en maille S;;Ketten-Armschutz S;チェーンＳガード;
Hunter's Vambraces S;Braza. cazador S;A-bras de chasseur S;;Jäger-Armschienen S;ハンターＳアーム;
Hunter's Guards S;Guardab. cazador S;Gardes de chasseur S;;Jäger-Armschutz S;ハンターＳガード;
Bone Vambraces S;Brazales hueso S;Avant-bras d'os S;;Knochen-ArmschienenS;ボーンＳアーム;
Bone Guards S;Guardab. hueso S;Gardes d'os S;;Knochen-Armschutz S;ボーンＳガード;
Alloy Vambraces S;Brazales Aleación S;Avt-bras haut-métal S;;Legier.-ArmschienenS;アロイＳアーム;
Alloy Guards S;Guardab. Aleación S;Gardes haut-métal S;;Legier.-Armschutz S;アロイＳガード;
Bnahabra Gloves S;Guantes Bnahabra S;Gants Bnahabra S;;Bnahabra-HandschuheS;ブナハＳグローブ;
Bnahabra Sleeves S;Mangas Bnahabra S;Manches Bnahabra S;;Bnahabra-Ärmel S;ブナハＳカフス;
Rhenoplos Vambraces S;Brazales Rhenop. S;Avt-bras Rhenoplos S;;Rhenop.-ArmschienenS;リノプロＳアーム;
Rhenoplos Guards S;Guardab. Rhenop. S;Gardes Rhenoplos S;;Rhenoplos-ArmschutzS;リノプロＳガード;
