english;spanish;french;italian;german;japanese;chinese
Leather Trousers;Pantalones de cuero;Pantalon en cuir;Pantaloni di cuoio;Leder-Hose;レザーパンツ;
Chainmail Trousers;Pantalón de malla;Pantalon de mailles;Pantaloni di cotta;Ketten-Hose;チェーンパンツ;
Bherna Greaves;Grebas de Bherna;Grèves Bherna;Schinieri Bherna;Bherna-Beinschienen;ベルダーグリーヴ;
Hunting Greaves;Grebas de caza;Grèves Fauconnier;Schinieri caccia;Jagd-Beinschienen;ハントグリーヴ;
Hunting Leggings;Calzas de caza;Cuissard Fauconnier;Gambali caccia;Jagdgamaschen;ハントレギンス;
Mafumofu Boots;Botas Mafumofu;Bottes Mafumofu;Stivali Mafumofu;Mafumofu-Stiefel;マフモフブーツ;
Yukumo Hakama;Hakama Yukumo;Hakama Yukumo;Hakama Yukumo;Yukumo-Hakama;ユクモノハカマ;
Loc Lac Boots;Botas de Loc Lac;Bottes Loc Lac;Stivali Loc Lac;Loc-Lac-Stiefel;ロックラックブーツ;
Hunter's Greaves;Grebas de cazador;Grèves de chasseur;Schinieri cacciatore;Jäger-Beinschienen;ハンターグリーヴ;
Hunter's Leggings;Calzas de cazador;Cuissard de chasseur;Gambali cacciatore;Jäger-Gamaschen;ハンターレギンス;
Bone Greaves;Grebas de hueso;Grèves d'os;Schinieri d'osso;Knochen-Beinschienen;ボーングリーヴ;
Bone Leggings;Calzas de hueso;Cuissard d'os;Gambali d'osso;Knochen-Gamaschen;ボーンレギンス;
Trapper's Greaves;Grebas de trampero;Grèves de trappeur;Schinieri trapper;Trapper-Beinschienen;狩人の革臑当;
Trapper's Boots;Botas de trampero;Bottes de trappeur;Stivali trapper;Trapper-Stiefel;狩人の革長靴;
Maccao Shinguards;Canilleras Maccao;Protège-tibia Maccao;Parastinchi Maccao;MaccaoSchienbeinschin;跳狗竜の革臑当;
Maccao Boots;Botas de Maccao;Bottes Maccao;Stivali Maccao;Maccao-Stiefel;跳狗竜の革長靴;
Jaggi Shinguards;Canilleras Jaggi;Protège-tibia Jaggi;Parastinchi Jaggi;Jaggi-Schienbeinsch.;狗竜の革臑当;
Jaggi Boots;Botas de Jaggi;Bottes Jaggi;Stivali Jaggi;Jaggi-Stiefel;狗竜の革長靴;
Jaggi Greaves;Grebas de Jaggi;Grèves Jaggi;Schinieri Jaggi;Jaggi-Beinschienen;ジャギィグリーヴ;
Jaggi Leggings;Calzas de Jaggi;Cuissard Jaggi;Gambali Jaggi;Jaggi-Gamaschen;ジャギィレギンス;
Maccao Greaves;Grebas de Maccao;Grèves Maccao;Schinieri Maccao;Maccao-Beinschienen;マッカォグリーヴ;
Maccao Leggings;Calzas de Maccao;Cuissard Maccao;Gambali Maccao;Maccao-Gamaschen;マッカォレギンス;
Velociprey Greaves;Grebas de Velociprey;Grèves Velociprey;Schinieri Velociprey;VelocipreyBeinschien;ランポスグリーヴ;
Velociprey Leggings;Calzas de Velociprey;Cuissard Velociprey;Gambali Velociprey;Velociprey-Gamaschen;ランポスレギンス;
